Scheme Name,Category,Q3_Rank,Q2_Rank,Q1_Rank,Category_Size
ICICI Prudential Large Cap Fund,Large Cap,6,5,5,31
Axis Large Cap Fund,Large Cap,8,6,5,31
Canara Robeco Large Cap Fund,Large Cap,10,8,7,31
SBI Bluechip Fund,Large Cap,12,11,10,31
HDFC Top 100 Fund,Large Cap,15,14,13,31
Kotak Bluechip Fund,Large Cap,18,17,16,31
Aditya Birla Sun Life Frontline Equity Fund,Large Cap,20,19,18,31
Nippon India Large Cap Fund,Large Cap,22,21,20,31
UTI Mastershare Fund,Large Cap,25,24,23,31
Mirae Asset Large Cap Fund,Large Cap,28,27,26,31
