NGEN Markets Filter Results: ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Notes
Fund Name,AUM Cr.,TER,PE,PB,Top 3 Holdings,Top 5 Holdings,Top 10 Holdings,Top 20 Holdings,Sharpe,Sortino,St Dev,Inception,Age in Yrs,,,Parameters used mentioned
Higher/lower,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,lower,higher,higher,,,Whether the parameter should have a higher value or a lower value for a positive outcome
Weightage,9,8,7,7,6,6,6,6,15,13,9,3,5,score,Rank,Weightages given to the parameters adding up to 100
HDFC Balanced Advantage Fund (G),106494,1.34%,19.89,3.03,13.23,19.54,31.34,46.19,0.67,0.81,16.12%,17.38%,31.11,851504.2718,,(The weightage * corresponding value for all column values under 'higher') - (The weightage * corresponding values for all column values under 'lower')  = score
ICICI Pru Balanced Advantage Fund (G),68450,1.44%,27.75,4.27,15.17,22.61,36.85,52.09,0.4,0.45,11.95%,11.28%,18.9,546989.2244,,
SBI Balanced Advantage Fund (G),38628,1.55%,20.18,2.58,13.65,18.54,28.54,44.12,0.76,0.97,5.91%,11.52%,4.24,308470.8495,,
Kotak Balanced Advantage Fund - Regular (G),17874,1.65%,24.2,3.63,15.83,23.25,35.08,50.7,0.42,0.42,9.53%,10.63%,7.32,142313.6373,,The final score column is then sorted from highest to lowest to get the final ranking.
Edelweiss Balanced Advantage Fund (G),13239,1.69%,25.35,3.74,20.18,27.83,40.23,54.97,0.48,0.6,8.12%,10.65%,16.28,105155.6981,,
Tata Balanced Advantage Fund (G),9906,1.71%,28.05,3.76,14.07,20.31,29.59,44.43,0.53,0.57,8.68%,11.37%,6.83,78627.5107,,
Nippon India Balanced Advantage Fund (G),9662,1.74%,27.86,4.1,11.05,17.01,28.68,42.03,0.5,0.59,17.56%,14.70%,21.04,76783.8114,,
Aditya Birla SL Balanced Advantage Fund (G),8617,1.77%,27.61,3.69,12.22,17.72,28.57,43.67,0.25,0.28,15.42%,9.75%,25.6,68421.6325,,
Baroda BNP Paribas Balanced Advantage Fund-Reg (G),4545,1.88%,29.7,4.61,15.11,20.83,32.27,49.19,0.67,0.73,10.64%,13.98%,7.04,35668.8664,,
NJ Balanced Advantage Fund (G),3781,1.89%,28.16,4.16,18.51,24.99,38.85,57.71,0.17,0.2,7.96%,7.87%,4.08,29397.5357,,
AXIS Balanced Advantage Fund (G),3721,1.91%,24.77,3.66,21.47,30.36,44.79,59.45,0.37,0.43,8.08%,9.65%,8.32,28929.6459,,
DSP Dynamic Asset Allocation Fund (G),3636,1.89%,20.96,3.02,13.06,19.13,30.6,48,0.37,0.37,6.86%,9.20%,11.81,28546.3369,,
UTI-Balanced Advantage Fund - Regular (G),3161,1.89%,25.29,3.71,17.97,25.98,41.71,61.63,0.79,1.05,6.78%,12.39%,2.28,24428.3709,,
Franklin India Balanced Advantage Fund (G),2841,1.93%,27.49,3.67,16.78,24.74,38.74,56.7,0.88,1.09,6.10%,12.46%,3.22,21945.3553,,
Parag Parikh Dynamic Asset Allocation Fund-Reg (G),2681,0.63%,18.73,2.67,11.36,16.61,28.42,44.05,0.49,0.58,2.66%,8.15%,1.74,20881.4091,,
Bandhan Balanced Advantage Fund (G),2320,2.01%,29.13,3.74,13.78,20.94,35.57,55.13,0.23,0.24,8.50%,8.47%,11.13,17843.2281,,
Mirae Asset Balanced Advantage Fund (G),1981,2.06%,23.43,3.31,12.6,18.61,30.63,45.89,0.72,0.88,6.59%,11.69%,3.29,15229.5562,,
WhiteOak Capital Balanced Advantage Fund - Reg (G),2015,2.02%,27.74,3.96,20.36,30.71,45.38,61.28,1.06,1.25,7.22%,14.98%,2.78,15198.9702,,
Sundaram Balanced Advantage Fund (G),1728,2.05%,24.27,3.59,17.05,25.75,39.62,55.88,0.28,0.34,8.41%,8.93%,14.95,13084.2409,,
HSBC Balanced Advantage Fund (G),1588,2.11%,26.18,3.69,15.31,21.08,33.89,52.72,0.43,0.5,8.69%,10.47%,14.81,12045.0559,,
Canara Robeco Balanced Advantage Fund - Reg (G),1394,2.11%,22.76,3.4,16.14,23.37,37.08,55.93,-0.36,-0.51,7.95%,3.45%,1.36,10341.6143,,
Union Balanced Advantage Fund (G),1374,2.15%,28.78,4.03,14.07,20.92,31.7,49.5,0.32,0.33,9.45%,9.57%,7.91,10312.4463,,
Bajaj Finserv Balanced Advantage Fund - Reg (G),1325,2.05%,27.41,3.63,19.71,30.06,48.63,71.2,0.22,0.27,9.00%,8.44%,1.94,9594.0841,,
Quant Dynamic Asset Allocation Fund-Regular (G),1137,2.16%,27.29,3.61,36.79,51.49,78.5,107.03,0.98,1.18,13.68%,20.95%,2.62,7585.5324,,
Invesco India Balanced Advantage Fund (G),1091,2.08%,33.26,5,28.53,41.14,62.42,81.72,0.27,0.32,14.68%,9.80%,18.16,7564.692,,
Mahindra Manulife Balanced Advantage Fund (G),940,2.19%,25.97,3.35,13.89,19.29,31.57,50.19,0.39,0.45,9.12%,10.16%,3.91,6824.0235,,
PGIM India Balanced Advantage Fund (G),953,2.20%,32.19,4.6,19.79,29.06,43.49,59.54,0.37,0.47,8.17%,9.66%,4.81,6699.4188,,
Motilal Oswal Balance Advantage Fund (G),955,2.26%,91.62,11.04,44.92,62.61,91.2,100,0.15,0.17,11.15%,7.86%,9.17,5569.9842,,
LIC MF Balanced Advantage Fund (G),767,2.31%,21.69,3.22,22.38,30.99,47.14,63.89,0.2,0.27,7.69%,8.15%,4.04,5213.2491,,
ITI Balanced Advantage Fund (G),400,2.37%,30.42,4.07,27.8,36.78,52.62,73.64,0.06,0.06,13.07%,6.71%,5.91,2108.4769,,
Helios Balanced Advantage Fund - Regular (G),319,2.41%,20.78,3.25,16.94,26,40.36,60.71,0.21,0.23,9.91%,8.45%,1.66,1714.0565,,
Samco Dynamic Asset Allocation Fund-Reg (G),313,2.41%,41.59,5.23,39.29,45.57,58.56,77.91,-0.37,-0.36,11.41%,1.73%,1.89,1117.9377,,
Bank of India Balanced Advantage Fund (G),144,2.30%,22.46,2.8,14.41,22.09,38.37,57.79,0.21,0.26,8.57%,8.35%,11.71,418.7374,,
Shriram Balanced Advantage Fund (G),58,2.42%,20.76,3.37,19.23,29.62,49.23,72.9,0.26,0.29,9.03%,8.82%,6.4,-487.949,,
