Fund Name,winrichrank
Parag Parikh Flexi Cap Fund - Regular (G),1
HDFC Flexi Cap Fund - (G),2
Kotak Flexi Cap Fund (G),3
UTI-Flexi Cap Fund (G),4
Aditya Birla SL Flexi Cap Fund (G),5
SBI Flexi Cap Fund (G),6
Franklin India Flexi Cap Fund - (G),7
ICICI Pru Flexicap Fund (G),8
Motilal Oswal Flexi Cap Fund (G),9
Canara Robeco Flexi Cap Fund (G),10
AXIS Flexi Cap Fund (G),11
DSP Flexi Cap Fund (G),12
Nippon India Flexi Cap Fund - Regular (G),13
Bandhan Flexi Cap Fund (G),14
Quant Flexi Cap Fund (G),15
WhiteOak Capital Flexi Cap Fund (G),16
PGIM India Flexi Cap Fund (G),17
JM Flexicap Fund (G),18
Bajaj Finserv Flexi Cap Fund - Regular (G),19
HSBC Flexi Cap Fund (G),20
Helios Flexi Cap Fund - Regular (G),21
Invesco India Flexi Cap Fund (G),22
Tata Flexi Cap Fund - Regular (G),23
Mirae Asset Flexi Cap Fund - Regular (G),24
Edelweiss Flexi Cap Fund (G),25
NJ Flexi Cap Fund - Regular (G),26
Union Flexi Cap Fund (G),27
Bank of India Flexi Cap Fund (G),28
Sundaram Flexi Cap Fund (G),29
360 ONE FlexiCap Fund - Regular (G),30
Mahindra Manulife Flexi Cap Fund (G),31
ITI Flexi Cap Fund - Regular (G),32
Baroda BNP Paribas Flexi Cap Fund (G),33
TRUSTMF Flexi Cap Fund - Regular (G),34
LIC MF Flexi Cap Fund - (G),35
Taurus Flexi Cap Fund (G),36
Samco Flexi Cap Fund (G),37
Navi Flexi Cap Fund - Regular (G),38
Shriram Flexi Cap Fund (G),39
