Fund Name,winrichrank
ICICI Pru Large Cap Fund (G),1
SBI Large Cap Fund (G),2
Nippon India Large Cap Fund (G),3
HDFC Large Cap Fund - Regular (G),4
AXIS Large Cap Fund (G),5
Aditya Birla SL Large Cap Fund (G),6
Canara Robeco Large Cap Fund (G),7
UTI-Large Cap Fund (G),8
Kotak Large Cap Fund (G),9
Franklin India Large Cap Fund (G),10
DSP Large Cap Fund - Regular (G),11
Sundaram Large Cap Fund - Regular (G),12
Motilal Oswal Large Cap Fund - Regular (G),13
Quant Large Cap Fund (G),14
Tata Large Cap Fund - Regular (G),15
Baroda BNP Paribas Large Cap Fund - Regular (G),16
Bandhan Large Cap Fund (G),17
HSBC Large Cap Fund (G),18
Invesco India Largecap Fund (G),19
Bajaj Finserv Large Cap Fund - Regular (G),20
LIC MF Large Cap Fund (G),21
Edelweiss Large Cap Fund (G),22
WhiteOak Capital Large Cap Fund - Regular (G),23
Mahindra Manulife Large Cap Fund - Reg (G),24
PGIM India Large Cap Fund (G),25
ITI Large Cap Fund (G),26
JM Large Cap Fund - (G),27
Union Largecap Fund - Regular (G),28
Bank of India Large Cap Fund - Regular (G),29
Groww Large Cap Fund (G),30
Taurus Large Cap Fund (G),31
