Fund Name,winrichrank
HDFC Mid Cap Fund - Regular (G),1
Invesco India Midcap Fund (G),2
Kotak Midcap Fund (G),3
Nippon India Growth Mid Cap Fund - (G),4
Motilal Oswal Midcap Fund (G),5
Sundaram Mid Cap Fund - (G),6
Edelweiss Mid Cap Fund (G),7
Mirae Asset Midcap Fund (G),8
ICICI Pru MidCap Fund (G),9
Franklin India Mid Cap Fund (G),10
Mahindra Manulife Mid Cap Fund (G),11
WhiteOak Capital Mid Cap Fund (G),12
AXIS Midcap Fund (G),13
SBI Midcap Fund (G),14
Union Midcap Fund (G),15
Tata Mid Cap Fund - (G),16
Baroda BNP Paribas Mid Cap Fund - Regular (G),17
Aditya Birla SL Midcap Fund - (G),18
HSBC Midcap Fund (G),19
DSP Midcap Fund (G),20
PGIM India Midcap Fund (G),21
UTI-Mid Cap Fund (G),22
LIC MF Midcap Fund - Regular (G),23
Bandhan Midcap Fund (G),24
ITI Mid Cap Fund (G),25
Canara Robeco Mid Cap Fund - Regular (G),26
Taurus Mid Cap Fund (G),27
Quant Mid Cap Fund (G),28
JM Midcap Fund - Regular (G),29
