Fund Name,winrichrank
Nippon India Small Cap Fund (G),1
HDFC Small Cap Fund (G),2
SBI Small Cap Fund (G),3
Quant Small Cap Fund - (G),4
AXIS Small Cap Fund (G),5
Kotak Small Cap Fund (G),6
Bandhan Small Cap Fund (G),7
DSP Small Cap Fund (G),8
HSBC Small Cap Fund (G),9
Franklin India Small Cap Fund (G),10
Canara Robeco Small Cap Fund - Regular (G),11
Tata Small Cap Fund - Regular (G),12
Invesco India Smallcap Fund - Regular (G),13
ICICI Pru Smallcap Fund (G),14
Edelweiss Small Cap Fund - Regular (G),15
Aditya Birla SL Small Cap Fund (G),16
UTI-Small Cap Fund (G),17
Mahindra Manulife Small Cap Fund - Regular (G),18
Sundaram Small Cap Fund (G),19
ITI Small Cap Fund (G),20
Bank of India Small Cap Fund (G),21
Union Small Cap Fund (G),22
PGIM India Small Cap Fund (G),23
Baroda BNP Paribas Small Cap Fund - Regular (G),24
TRUSTMF Small Cap Fund - Regular (G),25
LIC MF Small Cap Fund - Regular (G),26
Quantum Small Cap Fund - Regular (G),27
